;Year-Quarter;Zuiver kwartaal;Voortschrijdend kwartaal;Year_Index;Zuiver Kwartaal NL;Voortschrijdend kwartaal NL;Year_Index_NL;Region;Province
0;85-1;54.8;54.3;57.2;59.2;59.4;60.3;Almelo Tubbergen;Overijssel
1;85-2;60.8;57.6;;61.8;60.5;;Almelo Tubbergen;
2;85-3;58.2;59.4;;60.6;61.1;;Almelo Tubbergen;
3;85-4;53.2;56.9;;60.3;60.4;;Almelo Tubbergen;
4;86-1;57.4;54.8;59.3;61;60.5;63;Almelo Tubbergen;
5;86-2;61.3;59.8;;63.9;62.5;;Almelo Tubbergen;
6;86-3;58.2;59.4;;64.4;64;;Almelo Tubbergen;
7;86-4;58.6;58.4;;63.2;63.7;;Almelo Tubbergen;
8;87-1;60.4;59.5;63.1;64;63.3;65.3;Almelo Tubbergen;
9;87-2;64.3;62.9;;66.7;65.3;;Almelo Tubbergen;
10;87-3;63;64.1;;66.3;66.3;;Almelo Tubbergen;
11;87-4;62.1;62.5;;65.5;65.6;;Almelo Tubbergen;
12;88-1;60;60.7;60.1;65.1;65;68.2;Almelo Tubbergen;
13;88-2;62.6;61;;69.6;67.3;;Almelo Tubbergen;
14;88-3;61.9;61.8;;69.9;69.6;;Almelo Tubbergen;
15;88-4;58.6;59.4;;69.4;69.4;;Almelo Tubbergen;
16;89-1;61.8;60;65.5;69.4;69.2;72.4;Almelo Tubbergen;
17;89-2;65.4;63.9;;73.6;71.4;;Almelo Tubbergen;
18;89-3;69.6;67;;73.9;73.5;;Almelo Tubbergen;
19;89-4;66.1;67.4;;73.7;73.6;;Almelo Tubbergen;
20;90-1;67.1;66.6;67;72.8;73.2;73.9;Almelo Tubbergen;
21;90-2;71.5;69.3;;76.8;74.8;;Almelo Tubbergen;
22;90-3;64;68.2;;74.1;75.2;;Almelo Tubbergen;
23;90-4;65.5;64.3;;73.3;73.4;;Almelo Tubbergen;
24;91-1;67.6;66.5;73.2;72.5;72.7;75.8;Almelo Tubbergen;
25;91-2;72.1;70.3;;76.4;74.6;;Almelo Tubbergen;
26;91-3;75.5;74.3;;77;76.5;;Almelo Tubbergen;
27;91-4;75.6;75.7;;77.3;76.9;;Almelo Tubbergen;
28;92-1;70.6;73.9;77.1;78.6;77.8;82.2;Almelo Tubbergen;
29;92-2;78.5;75.5;;82.9;80.7;;Almelo Tubbergen;
30;92-3;79.8;78.5;;83.7;83.1;;Almelo Tubbergen;
31;92-4;77.7;78.7;;84.6;83.9;;Almelo Tubbergen;
32;93-1;77.7;77.2;84.7;85.8;85;90.8;Almelo Tubbergen;
33;93-2;85.3;81.7;;90.8;88.4;;Almelo Tubbergen;
34;93-3;86.5;85.9;;92.1;91.3;;Almelo Tubbergen;
35;93-4;89.8;88.6;;94.4;93.2;;Almelo Tubbergen;
36;94-1;92.1;90.5;92.1;96.8;95.4;98.4;Almelo Tubbergen;
37;94-2;91.8;91.5;;99.7;98.1;;Almelo Tubbergen;
38;94-3;96.4;93.7;;99.4;99.4;;Almelo Tubbergen;
39;94-4;89.6;92.8;;98.6;98.9;;Almelo Tubbergen;
40;95-1;89.9;89.4;96.1;98.6;98.4;102.4;Almelo Tubbergen;
41;95-2;97.3;93.8;;101.7;100.1;;Almelo Tubbergen;
42;95-3;99.4;97.9;;103.6;102.6;;Almelo Tubbergen;
43;95-4;99.3;99.4;;105.7;104.6;;Almelo Tubbergen;
44;96-1;102.1;100.2;108.8;107.7;106.5;112.7;Almelo Tubbergen;
