TIME;Netherlands
1992-Q2;5.6
1992-Q3;5.8
1992-Q4;6.0
1993-Q1;6.1
1993-Q2;6.3
1993-Q3;6.6
1993-Q4;6.8
1994-Q1;7.0
1994-Q2;7.2
1994-Q3;7.3
1994-Q4;7.3
1995-Q1;7.3
1995-Q2;7.2
1995-Q3;7.1
1995-Q4;6.9
1996-Q1;6.7
1996-Q2;6.5
1996-Q3;6.3
1996-Q4;6.1
1997-Q1;5.8
1997-Q2;5.6
1997-Q3;5.3
1997-Q4;5.1
1998-Q1;4.8
1998-Q2;4.5
1998-Q3;4.3
1998-Q4;4.1
1999-Q1;3.9
1999-Q2;3.8
1999-Q3;3.5
1999-Q4;3.2
2000-Q1;3.0
2000-Q2;2.8
2000-Q3;3.1
2000-Q4;2.9
2001-Q1;2.3
2001-Q2;2.2
2001-Q3;2.3
2001-Q4;2.3
2002-Q1;2.5
2002-Q2;2.6
2002-Q3;2.9
2002-Q4;3.1
2003-Q1;3.3
2003-Q2;3.6
2003-Q3;3.8
2003-Q4;4.1
2004-Q1;4.4
2004-Q2;4.7
2004-Q3;4.5
2004-Q4;4.8
2005-Q1;6.0
2005-Q2;6.0
2005-Q3;5.8
2005-Q4;5.7
2006-Q1;5.4
2006-Q2;5.1
2006-Q3;4.8
2006-Q4;4.7
2007-Q1;4.5
2007-Q2;4.2
2007-Q3;4.1
2007-Q4;3.9
2008-Q1;3.7
2008-Q2;3.7
2008-Q3;3.6
2008-Q4;3.7
2009-Q1;3.8
2009-Q2;4.2
2009-Q3;4.5
2009-Q4;4.8
2010-Q1;5.1
2010-Q2;5.0
2010-Q3;5.0
2010-Q4;4.9
2011-Q1;4.9
2011-Q2;4.8
2011-Q3;5.0
2011-Q4;5.3
2012-Q1;5.5
2012-Q2;5.7
2012-Q3;5.9
2012-Q4;6.2
2013-Q1;6.8
2013-Q2;7.1
2013-Q3;7.5
2013-Q4;7.6
2014-Q1;7.8
2014-Q2;7.6
2014-Q3;7.2
2014-Q4;7.2
2015-Q1;7.1
2015-Q2;6.9
2015-Q3;6.8
2015-Q4;6.7
2016-Q1;6.5
2016-Q2;6.2
2016-Q3;5.8
2016-Q4;5.5
2017-Q1;5.3
2017-Q2;5.0
2017-Q3;4.7
2017-Q4;4.4
2018-Q1;4.1
2018-Q2;3.9
2018-Q3;3.7
2018-Q4;3.6
2019-Q1;3.5
2019-Q2;3.4
2019-Q3;3.3
2019-Q4;3.3
2020-Q1;3.2
2020-Q2;3.9
2020-Q3;4.3
2020-Q4;4.0
